Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2016,Jan 2016,67.41,2016-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2016,Feb 2016,67.42,2016-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2016,Mar 2016,67.41,2016-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2016,Apr 2016,67.74,2016-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2016,May 2016,67.74,2016-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2016,Jun 2016,67.74,2016-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2016,Jul 2016,67.74,2016-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2016,Aug 2016,67.77,2016-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2016,Sep 2016,67.84,2016-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2016,Oct 2016,67.92,2016-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2016,Nov 2016,67.99,2016-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2016,Dec 2016,67.99,2016-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2017,Jan 2017,68.08,2017-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2017,Feb 2017,68.08,2017-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2017,Mar 2017,68.11,2017-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2017,Apr 2017,68.37,2017-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2017,May 2017,68.37,2017-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2017,Jun 2017,68.44,2017-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2017,Jul 2017,68.44,2017-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2017,Aug 2017,68.46,2017-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2017,Sep 2017,68.48,2017-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2017,Oct 2017,68.62,2017-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2017,Nov 2017,68.66,2017-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2017,Dec 2017,68.71,2017-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2018,Jan 2018,68.88,2018-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2018,Feb 2018,69.05,2018-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2018,Mar 2018,69.08,2018-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2018,Apr 2018,69.49,2018-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2018,May 2018,69.51,2018-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2018,Jun 2018,69.51,2018-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2018,Jul 2018,69.51,2018-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2018,Aug 2018,70.15,2018-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2018,Sep 2018,70.22,2018-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2018,Oct 2018,70.22,2018-10-01
